EditFolderTemplateDeleteTemplate,AdminSettings.DynamicFolderTemplates.DynamicFolderTemplates
UnarchiveMessage,Inbox.ArchivedMessages
NonLockOwnerCopyFolderContainingCheckedOutFileByBulkOperations,PersonalFolders.CheckInCheckOut.Copy
CheckOutFileAndCopyWithDifferentUser,PersonalFolders.CheckInCheckOut.Copy
ChangeNoteDetail,MoreOptions.Notes.CreateNotes
DownloadReport_Usage_User,AdminSettings.Reporting
DownloadReport_Access_EntireAccount,AdminSettings.Reporting
MoveFileFromFavoriteFoldersToLocationContainingFileWithSameNameVersioningDisabled,FavoriteFolders.FavoriteFolders
ReviewFolderPermissionChangesInBulkFolderAccess,ManageUsers.Employees.EditEmployee
ViewUserUsageReportOfficeOnline,AdminSettings.Reporting
DownloadReport_Access_Folder,AdminSettings.Reporting
MoveFileFromMyFilesToLocationContainingFileWithSameNameVersioningDisabled,PersonalFolders.Files.MoveFiles
VDRDataRoomIndexDownloadToPDF,MoreOptions.DataRoomIndex.VDRDataRoomIndex
ApplyPermissionsToSubfolders,SharedFolders.FolderAccess.ShareFoldersWithUser
ChangeLoginLogoImage,AdminSettings.CustomBranding
NoPermissionToCreateEmployeeUser,ManageUsers.Employees.CreateEmployee
CancelComposeEE,Inbox.EncryptedEmail
CheckInZipFile,PersonalFolders.CheckInCheckOut.CheckInCheckOut
DeleteFolderContainingCheckedOutFileAndCheckNotification,PersonalFolders.CheckInCheckOut.Delete
SubFolderWithOutViewPermissionsParentFolderWithViewOnlyPermissions,PersonalFolders.Folders.ViewOnly
UsingShareFileUserAndCheckInbox,Shares.Send
SortClientsByEmailFromBrowse,ManageUsers.Clients.SortClients
NonLockOwnerCannotEditCheckedOutFile,PersonalFolders.CheckInCheckOut.Edit
EditViewsPerUserAfterSent,Shares.ViewOnlyShares
SortSharedFoldersByTitleInThumbView,SharedFolders.Folders.SortFolders
TwoUsersCheckOutFile,PersonalFolders.CheckInCheckOut.CheckInCheckOut
ViewUserUsageReport,AdminSettings.Reporting
DownloadReport_BandwidthSummary,AdminSettings.Reporting
PdfViewOnlyShareByLink,Shares.ViewOnlyShares
EditEventRecordedInUsageReport,AdminSettings.Reporting
SearchAddUserToFolder_BasicUserSearch,SharedFolders.FolderAccess.ShareFoldersWithUser
NonLockOwnerCopyFolderContainingCheckedOutFileByMoreOptionsMenu,PersonalFolders.CheckInCheckOut.Copy
FileCheckOut,PersonalFolders.CheckInCheckOut.CheckInCheckOut
NonLockOwnerDeleteFolderContainingCheckedOutFileByManageFolderActions,PersonalFolders.CheckInCheckOut.Delete
NonLockOwnerEditFolderWithCheckedOutFileByMoreOptions,PersonalFolders.CheckInCheckOut.Edit
RenameFileInMyFiles,PersonalFolders.Files.EditFiles
MoveRecentReportMyFiles,AdminSettings.Reporting
NonLockOwnerLoginBeforeCheckOutAndReUploadFile,PersonalFolders.CheckInCheckOut.Upload
CreateEmployeeCanEditSecurityQuestionAndActivate,ManageUsers.Employees.CreateEmployee
CopyFolderContainingCheckedOutFile,PersonalFolders.CheckInCheckOut.Copy
CheckOutAndRequestRequireLogin,PersonalFolders.CheckInCheckOut.Request
UnsupportedFilesCannotBeViewed,PersonalFolders.Folders.ViewOnly
ExportSubFoldersActivityLogToExcelAndCompare,PersonalFolders.Folders.ActivityLog
OfficeOnlineViewEventRecordedInActivityLog,PersonalFolders.Folders.ActivityLog
CheckInAndCheckOutSubscriberNotifications,PersonalFolders.CheckInCheckOut.CheckInCheckOut
SearchGroupByLetterTab,ManageUsers.DistributionGroups.SearchGroups
OpenLinkFromEmailAndLogin,ManageUsers.Employees.CreateEmployee
UnableToMoveFolderToCurrentLocationOrUnderItself,PersonalFolders.Folders.MoveFolders
SortMyFoldersByTitleInThumbView,PersonalFolders.Folders.SortFolders
CreateNewEmployeeAndVerifyExists,ManageUsers.Employees.CreateEmployee
GetALinkFromShareFile,Shares.Send
RevokeAccessForSentEncryptedEmail,Inbox.EncryptedEmail
CreateNewFileDrop,AdminSettings.FileDrops.CreateFileDrops
NonLockOwnerCopyFolderContainingCheckedOutFile,PersonalFolders.CheckInCheckOut.Copy
CreateNewFolderTemplate_SpecialChars,AdminSettings.DynamicFolderTemplates.DynamicFolderTemplates
ViewEmployeesSentMessages,Inbox.SentMessages
CheckOutFileAndDownloadWithDifferentUser,PersonalFolders.CheckInCheckOut.Download
CV_GridView_RightClickViewDetail,ContentViewer.CVLaunching
NonLockOwnerSendFolderContainingCheckedOutFileByGetALinkWithBulkOperations,PersonalFolders.CheckInCheckOut.Send
ExportCurrentFolderActivityLogToExcelAndCompare,PersonalFolders.Folders.ActivityLog
EditFolderTemplate,AdminSettings.DynamicFolderTemplates.DynamicFolderTemplates
NonLockOwnerCanOnlineViewCheckedOutFile,PersonalFolders.CheckInCheckOut.View
NonLockOwnerMoveFolderContainingCheckedOutFileByMoreOptionsMenu,PersonalFolders.CheckInCheckOut.Move
RenameFolderInSharedFolders,SharedFolders.Folders.EditFolders
ViewOnlyMultipleFilesGridView,Shares.ViewOnlyShares
CV_ListView_FileTypeIcon,ContentViewer.CVLaunching
DownloadReport_BandwidthDetail_EntireAccount,AdminSettings.Reporting
CheckOutFileAndDownloadMultipleFilesWithDifferentUser,PersonalFolders.CheckInCheckOut.Download
CreateNewFolderTemplate_MaxLength,AdminSettings.DynamicFolderTemplates.DynamicFolderTemplates
SubFolderWithViewOnlyPermissionsParentFolderWithoutViewPermissions,PersonalFolders.Folders.ViewOnly
CopyFolderContainingCheckedOutFileByMoreOptionsMenu,PersonalFolders.CheckInCheckOut.Copy
MobileConsumeSingleFileShare,MobileSpecific.MobileView
VerifyViewOptionNotAvailableForShareAndFolder,Shares.Send
WOPIViewOptionNotAvailableForNonSupportedFiles,PersonalFolders.Files.ViewFiles
NonLockOwnerRestoreCheckedOutFile,PersonalFolders.CheckInCheckOut.Delete
ReplyToEncryptedEmail,Inbox.EncryptedEmail
RevokeAccessForMultipleEncryptedEmails,Inbox.EncryptedEmail
CheckOutAndCheckInFile,PersonalFolders.CheckInCheckOut.CheckInCheckOut
ComposeMessageUsingSharedAddressBook,Inbox.EncryptedEmail
